Nombre,Apellidos,Email,Telefono,Sexo,Edad
Daniel,Maciel_inv Hernández,daniel.maciel15@gmail.com,3367892153,M,20
Cristina,Carrillo Torres,cristina.carrillo44@outlook.com,3321271975***,F,47
Antonio,Aréchiga López,antonio.aréchiga54(*2@hotmail.com,3340956040,M,65
RebecaXX,Torres Carrillo,rebeca.torres5@outlook.com,3366128107,F,77
Andrea,Pérez Cuevas,andrea.pérez77(*2@outlook.com,3350330955,F,85
Daniela,Córdova López,daniela.córdova47@hotmail.com,3316791118,F??,60
Casandra,Hernández López,casandra.hernández87@outlook.com,3354629125,F,72.5
Itzel,Córdova Aréchiga,itzel.córdova14@yahoo.com,3324386340,FX,71
Carlos,Aréchiga Macías,carlos.aréchiga43(*2@hotmail.com,3350021756,M,3
Omar Oscar,Córdova Hernández,omar.córdova10(*2@yahoo.com,3394106508,M,85
Daniel Daniel,Maciel Torres,daniel.maciel64@gmail.com,3385209248,M,57a
Gerardo,Maciel Pérez,gerardo.maciel60@gmail.com,3321744237,M,39??
