Nombre,Apellidos,Email,Telefono,Sexo,Edad
Casandra,Maciel Córdova,casandra.maciel11@gmail.com,3362724351,F,72
Omar,López Carrillo,omar.lópez95@outlook.com,3321947017,M,4
Luis Pedro,Macías Hernández,luis.macías64@yahoo.com,3322434810,M,84
Daniel,Maciel_inv Hernández,daniel.maciel15@gmail.com,3367892153,M,20
Lucia,Maciel García,lucia.maciel20@hotmail.com,3339975582,F,15
María,Córdova Torres,maría.córdova57@outlook.com,3389800654,F,65
Armando Germán,Hernández Torres,armando.hernández9@gmail.com,3355767227,M,85
Pedro Juan,Macías Maciel,pedro.macías62@hotmail.com,3303493699,M,93
Cristina,Carrillo Torres,cristina.carrillo44@outlook.com,3321271975***,F,47
Antonio,Aréchiga López,antonio.aréchiga54(*2@hotmail.com,3340956040,M,65
Pedro,Carrillo Maciel,pedro.carrillo19@outlook.com,3351731582,M,14
Pedro,Macías Torres,pedro.macías11@hotmail.com,3380222660,M,11
Antonio Antonio,López Córdova,antonio.lópez42@gmail.com,3330491381,M,6
Denise,Maciel Aréchiga,denise.maciel3@outlook.com,3352589977,F,57
Isabel Alma,Pérez Carrillo,isabel.pérez75@outlook.com,3320583244,F,42
Pedro,Cuevas García,pedro.cuevas97@outlook.com,3300873719,M,54
Daniel Germán,Miramontes Macías,daniel.miramontes49@hotmail.com,3333472582,M,35
Miguel,Hernández Aréchiga,miguel.hernández45@yahoo.com,3337694180,M,98
Manuel Omar,Torres Torres,manuel.torres28@gmail.com,3361570276,M,62
Casandra,Maciel Aréchiga,casandra.maciel7@outlook.com,3322613648,F,47
Armando Darío,Torres Pérez,armando.torres11@outlook.com,3343950737,M,86
María Alma,Macías Miramontes,maría.macías81@gmail.com,3361840643,F,97
Luis Germán,Aréchiga García,luis.aréchiga69@yahoo.com,3329436259,M,88
Miguel José,López Aréchiga,miguel.lópez43@hotmail.com,3325024558,M,66
RebecaXX,Torres Carrillo,rebeca.torres5@outlook.com,3366128107,F,77
Isabel,Aréchiga Torres,isabel.aréchiga28@yahoo.com,3365493719,F,10
Alma,García Miramontes,alma.garcía69@gmail.com,3326982077,F,37
Carla,Pérez Cuevas,carla.pérez39@hotmail.com,3346973004,F,17
